[2026-07-02 11:09:57.528] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 188.01ms
[2026-07-02 11:09:57.799] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 218.16ms
[2026-07-02 11:09:58.063] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 208.89ms
[2026-07-02 11:09:58.318] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 201.88ms
[2026-07-02 11:09:58.586] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 214.11ms
[2026-07-02 11:09:58.848] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 209.50ms
[2026-07-02 11:09:59.110] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 203.25ms
[2026-07-02 11:09:59.350] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 186.16ms
[2026-07-02 11:09:59.604] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 198.55ms
[2026-07-02 11:09:59.878] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 219.36ms
[2026-07-02 11:10:00.128] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 195.96ms
[2026-07-02 11:10:00.367] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 184.31ms
[2026-07-02 11:10:00.625] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 203.51ms
[2026-07-02 11:10:00.988] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 300.91ms
[2026-07-02 11:10:01.331] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 284.89ms
[2026-07-02 11:10:01.673] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 284.31ms
[2026-07-02 11:10:02.008] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 273.35ms
[2026-07-02 11:10:02.299] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 231.38ms
[2026-07-02 11:10:02.789] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 432.86ms
[2026-07-02 11:10:03.133] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 268.98ms
[2026-07-02 11:10:03.440] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 248.04ms
[2026-07-02 11:10:03.743] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 244.07ms
[2026-07-02 11:10:04.077] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 275.84ms
[2026-07-02 11:10:04.419] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 281.60ms
[2026-07-02 11:10:05.135] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 607.11ms
[2026-07-02 11:10:05.950] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 753.72ms
[2026-07-02 11:10:06.308] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 276.85ms
[2026-07-02 11:10:06.871] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 502.88ms
[2026-07-02 11:10:07.437] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 506.68ms
[2026-07-02 11:10:07.766] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 269.82ms
[2026-07-02 11:10:08.545] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 720.81ms
[2026-07-02 11:10:09.202] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 596.16ms
[2026-07-02 11:10:09.561] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 299.55ms
[2026-07-02 11:10:10.493] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 814.09ms
[2026-07-02 11:10:11.323] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 749.40ms
[2026-07-02 11:10:12.456] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 1052.63ms
[2026-07-02 11:10:14.376] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 1768.52ms
[2026-07-02 11:10:15.692] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 1214.33ms
[2026-07-02 11:10:16.306] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 542.06ms
[2026-07-02 11:10:17.094] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 703.08ms
[2026-07-02 11:10:17.708] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 534.76ms
[2026-07-02 11:10:18.324] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 535.00ms
[2026-07-02 11:10:19.035] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 630.03ms
[2026-07-02 11:12:27.423] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 185.72ms
[2026-07-02 11:12:27.609] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 181.01ms
[2026-07-02 11:12:27.867] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 204.18ms
[2026-07-02 11:12:28.125] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 204.13ms
[2026-07-02 11:12:28.390] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 210.85ms
[2026-07-02 11:12:28.643] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 198.51ms
[2026-07-02 11:12:28.898] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 197.73ms
[2026-07-02 11:12:29.138] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 186.44ms
[2026-07-02 11:12:29.387] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 194.30ms
[2026-07-02 11:12:29.643] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 202.53ms
